,landscape,treatment,area,number_of_mounds,bs_mean_mound_density,bs_std_mound_density,mean_mound_height,std_mound_height,mound_density,low_rem_ratio,high_rem_ratio,veg_g1,veg_g3,veg_b13
0,andover,agriculture,957377.0,33.0,0.3804943161074086,0.07950302033867153,0.9631014737215909,0.21456973889693184,3.446917985286883e-05,0.05612622014439731,0.17504896590768218,0.07067226390439711,0.03870888897477169,0.03196337492962542
1,andover,agriculture,3212798.0,185.0,0.5844800011700906,0.05851471419728908,1.2306002230257602,0.44059406984966293,5.758220716023852e-05,0.05483778351451283,0.1759469512961226,0.05003956053259495,0.017221126258171227,0.03281843427442373
2,andover,agriculture,513516.0,29.0,0.570189420694865,0.04113604021817626,1.2111563846982758,0.46776518822811136,5.647341076032685e-05,0.05555415883970666,0.1753579520162782,0.063626060336971,0.03396583553384899,0.029660224803122005
3,andover,grazing,6191870.0,144.0,0.2360529518628895,0.0946913994345836,1.0388675265842013,0.39665881884925025,2.3256302215647292e-05,0.0565957777628553,0.16945667853198634,0.15184088247541605,0.0428218015252362,0.10901908095017984
4,andover,grazing,15694057.0,282.0,0.1780655863885882,0.06701962392494923,0.8972223554338727,0.33408127998476894,1.7968585178453218e-05,0.057139580726285936,0.17427346541807523,0.4078982975841653,0.08648165159144702,0.3214166459927183
5,andover,nature_reserve,41200900.0,935.0,0.22991360540684425,0.09563993657080175,1.0751611681004918,0.39603739741734145,2.269367902157477e-05,0.052800628901984954,0.1938868380325321,0.5349466509351363,0.3012849781263802,0.23366167280875602
6,erosion,agriculture,5351093.0,207.0,0.3963064675411869,0.0609438641362849,1.0563243921252266,0.3685789997554044,3.868368574420217e-05,0.10506743629031567,0.07181410677929845,0.18357240287171236,0.0631841008930325,0.12038830197867988
7,erosion,agriculture,2355872.0,54.0,0.22105308268117643,0.07881780690240867,1.178905345775463,0.34616172376604665,2.292144904307195e-05,0.10291993861112769,0.07519989170983368,0.1331825328370981,0.05058084649760258,0.08260168633949552
8,erosion,grazing,19758561.0,458.0,0.2530804144551249,0.10049957502691301,1.0527083217837405,0.4128504248782433,2.3179825696820734e-05,0.09517164625924512,0.09779927929740567,0.32813057559226694,0.12510131193161092,0.20302926366065602
9,erosion,grazing,11670815.0,275.0,0.2456797316819858,0.10347772635414805,1.2343743341619318,0.40160479002374416,2.3563050223998925e-05,0.09962054112715736,0.08499321254910774,0.27586720412807164,0.06279433638156681,0.21307286774650483
10,L1,kruger,54564334.0,4358.0,0.8113498360590095,0.2878537782820349,1.3692441657802439,0.5120959029234642,7.98690221344954e-05,0.08655054145945262,0.12323704165424271,0.22500440359236928,0.12430614999302679,0.10069825359934251
11,L2,kruger,96926956.0,7079.0,0.7505997476076677,0.33155987918514795,1.2796679463042566,0.4392913056003116,7.303437858917183e-05,0.15389122784074122,0.04011705943783578,0.3467810335346347,0.1762301415822276,0.17055089195240708
12,L2,private_reserve,70304488.0,6541.0,0.9551566192772558,0.40913820262008965,1.4401417359912865,0.5040414953335718,9.303815710883209e-05,0.11008653902459879,0.08154278366709562,0.33985738072665,0.16955432921253602,0.17030305151411398
13,L7,agriculture,1836379.0,82.0,0.4584957957000142,0.1320121307168762,1.2139806980040015,0.461598810046489,4.465309176373722e-05,0.09985366808143717,0.10305821685764707,0.11897433908531568,0.052566229981411555,0.06640810910390413
14,L7,agriculture,961958.0,32.0,0.34254638519743963,0.07468542070400189,0.995244026184082,0.3125970610659938,3.326548560332156e-05,0.10106554472615606,0.10166764057838343,0.13121395264185165,0.054601614586928915,0.07661233805492274
15,L7,agriculture,4088530.0,212.0,0.5241235565384366,0.08847140847110306,1.2918322581165242,0.45820569583995063,5.18523772602867e-05,0.10079644751489968,0.10492068247039968,0.12852198712006516,0.0707650426926059,0.05775694442745926
