"r","theo","border"
0,0,0
3.54007397213191,39.3708278382841,0
7.08014794426382,157.483311353136,1.40812146706312
10.6202219163957,354.337450544557,1.40908270773966
14.1602958885276,629.933245412545,7.75604367010968
17.7003698606596,984.270695957102,48.6731607002871
21.2404438327915,1417.34980217823,163.060725917915
24.7805178049234,1929.17056407592,355.646993015399
28.3205917770553,2519.73298165018,615.567480471318
31.8606657491872,3189.03705490101,949.895128240334
35.4007397213191,3937.08278382841,1419.3524741335
38.940813693451,4763.87016843237,2001.33791026127
42.4808876655829,5669.3992087129,2754.01572299477
46.0209616377149,6653.66990467001,3675.6241247003
49.5610356098468,7716.68225630367,4786.50102772546
53.1011095819787,8858.43626361391,6053.00499471641
56.6411835541106,10078.9319266007,7530.83743651532
60.1812575262425,11378.1692452641,9161.02299347148
63.7213314983744,12756.148219604,10927.8290120282
67.2614054705063,14212.8688496205,12940.2240733194
70.8014794426383,15748.3311353136,14998.2082280541
74.3415534147702,17362.5350766833,17264.0443681745
77.8816273869021,19055.4806737295,19572.0851151371
81.421701359034,20827.1679264523,22090.1269258836
84.9617753311659,22677.5968348516,24583.0662778617
88.5018493032978,24606.7673989275,27252.1464762293
92.0419232754297,26614.67961868,29929.4656066462
95.5819972475616,28701.3334941091,32745.6751730206
99.1220712196935,30866.7290252147,35522.3437014288
102.662145191825,33110.8662119969,38454.7033681215
106.202219163957,35433.7450544556,41430.5198519878
109.742293136089,37835.365552591,44509.3944373761
113.282367108221,40315.7277064029,47677.7497073263
116.822441080353,42874.8315158913,50860.7324515091
120.362515052485,45512.6769810564,54180.3751398482
123.902589024617,48229.264101898,57564.3752994986
127.442662996749,51024.5928784161,61071.3528698094
130.982736968881,53898.6633106109,64553.2651348167
134.522810941013,56851.4753984822,68298.693081418
138.062884913145,59883.02914203,72232.0403086654
141.602958885277,62993.3245412545,76084.7361327738
145.143032857408,66182.3615961555,79916.2328710144
148.68310682954,69450.1403067331,83919.6443919201
152.223180801672,72796.6606729872,87981.8967787843
155.763254773804,76221.9226949179,92165.9772918804
159.303328745936,79725.9263725252,96485.3161488839
162.843402718068,83308.6717058091,100770.547410696
166.3834766902,86970.1586947695,105169.281797306
169.923550662332,90710.3873394065,109548.110633171
173.463624634464,94529.35763972,114268.608116176
177.003698606596,98427.0695957101,118951.024577573
180.543772578728,102403.523207377,123780.197465549
184.083846550859,106458.71847472,128658.581926344
187.623920522991,110592.65539774,133667.29578313
191.163994495123,114805.333976436,138586.166375532
194.704068467255,119096.754210809,143798.850963771
198.244142439387,123466.916100859,148901.222474724
201.784216411519,127915.819646585,154287.513362484
205.324290383651,132443.464847988,159723.94488069
208.864364355783,137049.851705067,165083.633115153
212.404438327915,141734.980217823,170637.808379552
215.944512300047,146498.850386255,176181.870633382
219.484586272179,151341.462210364,181943.158407099
223.02466024431,156262.815690149,187720.225463189
