"r","theo","border"
0,0,0
2.87255859375,25.9231435550278,0
5.7451171875,103.692574220111,0
8.61767578125,233.308291995251,0
11.490234375,414.770296880445,0
14.36279296875,648.078588875696,0
17.2353515625,933.233167981002,0
20.10791015625,1270.23403419636,18.394976626964
22.98046875,1659.08118752178,67.5094529385825
25.85302734375,2099.77462795725,135.38747431905
28.7255859375,2592.31435550278,246.607830076466
31.59814453125,3136.70037015837,364.410926621898
34.470703125,3732.93267192401,528.892031484993
37.34326171875,4381.0112607997,760.551791430173
40.2158203125,5080.93613678546,1040.97483553407
43.08837890625,5832.70729988126,1488.03312541839
45.9609375,6636.32475008713,2207.56987814953
48.83349609375,7491.78848740304,2977.150982892
51.7060546875,8399.09851182902,3837.99143667975
54.57861328125,9358.25482336505,4729.85395374994
57.451171875,10369.2574220111,6047.75778852537
60.32373046875,11432.1063077673,7197.00302840469
63.1962890625,12546.8014806335,8671.98826467252
66.06884765625,13713.3429406097,9944.09962691399
68.94140625,14931.730687696,11621.5477815749
71.81396484375,16201.9647218924,13462.2113720033
74.6865234375,17524.0450431988,15496.9022651154
77.55908203125,18897.9716516153,17586.5217909283
80.431640625,20323.7445471418,19469.0265058847
83.30419921875,21801.3637297784,21450.7362656723
86.1767578125,23330.8291995251,23494.4883297478
89.04931640625,24912.1409563818,25645.6859061907
91.921875,26545.2990003485,27854.9623832568
94.79443359375,28230.3033314253,30054.0167197958
97.6669921875,29967.1539496122,32475.3046495772
100.53955078125,31755.8508549091,34699.9285516018
103.412109375,33596.3940473161,36938.0079738769
106.28466796875,35488.7835268331,39088.8929332396
109.1572265625,37433.0192934602,41229.9685056778
112.02978515625,39429.1013471973,43777.8687195909
114.90234375,41477.0296880445,46202.3572194981
117.77490234375,43576.8043160018,48829.7324899187
120.6474609375,45728.4252310691,51347.5171626349
123.52001953125,47931.8924332465,53782.4167359952
126.392578125,50187.2059225339,56585.7550507751
129.26513671875,52494.3656989314,59547.6490851993
132.1376953125,54853.3717624389,62524.6519280468
135.01025390625,57264.2241130565,65511.8734679341
137.8828125,59726.9227507841,68421.1636931395
140.75537109375,62241.4676756218,71686.6961359122
143.6279296875,64807.8588875696,74912.7529766271
146.50048828125,67426.0963866274,77881.8741967127
149.373046875,70096.1801727953,81002.7757199405
152.24560546875,72818.1102460732,84294.3114848214
155.1181640625,75591.8866064612,87646.1629340865
157.99072265625,78417.5092539592,90553.8140236778
160.86328125,81294.9781885673,93880.0425895175
163.73583984375,84224.2934102854,97702.5670684648
166.6083984375,87205.4549191136,101137.559931448
169.48095703125,90238.4627150519,104615.01316165
172.353515625,93323.3167981002,108202.026928764
175.22607421875,96460.0171682586,111789.523323998
178.0986328125,99648.563825527,115600.871115153
180.97119140625,102888.956769905,119508.322435979
183.84375,106181.196001394,123283.696532264
186.71630859375,109525.281519993,127134.75820719
189.5888671875,112921.213325701,131166.208579537
192.46142578125,116368.99141852,135338.675748352
195.333984375,119868.615798449,139208.790679949
198.20654296875,123420.086465488,143093.556778395
201.0791015625,127023.403419636,147404.484941094
203.95166015625,130678.566660895,151413.710082348
206.82421875,134385.576189264,156074.301688779
209.69677734375,138144.432004743,160223.36300906
212.5693359375,141955.134107332,164458.544065108
215.44189453125,145817.682497032,168776.486393554
218.314453125,149732.077173841,172887.945025055
221.18701171875,153698.31813776,177483.510647808
224.0595703125,157716.405388789,182205.232587886
226.93212890625,161786.338926929,186897.07292717
229.8046875,165908.118752178,191943.531139843
232.67724609375,170081.744864538,196414.74887923
235.5498046875,174307.217264007,201526.809982596
